Subject,TrialIdx,PeriodType,EncodingObjectPosition_X,EncodingObjectPosition_Y,EncodingPlayerStartingPosition_X,EncodingPlayerStartingPosition_Y,Object,Performance
19,1.0,encoding,-6.7,-2.0,8.2,7.1,Camel,
19,1.0,encoding,3.8,2.7,8.2,7.1,Tiger,
19,1.0,egocentric retrieval,-6.7,-2.0,8.2,7.1,Camel,0.97082503
19,1.0,egocentric retrieval,3.8,2.7,8.2,7.1,Tiger,0.8749411
19,1.0,allocentric retrieval,-6.7,-2.0,8.2,7.1,Camel,0.96460003
19,1.0,allocentric retrieval,3.8,2.7,8.2,7.1,Tiger,0.94556905
19,2.0,encoding,-3.1,-6.9,-7.2,-2.1,Chicken,
19,2.0,encoding,-1.2,7.7,-7.2,-2.1,Elephant,
19,2.0,allocentric retrieval,-3.1,-6.9,-7.2,-2.1,Chicken,0.1474098999999999
19,2.0,allocentric retrieval,-1.2,7.7,-7.2,-2.1,Elephant,0.5965153999999999
19,2.0,egocentric retrieval,-3.1,-6.9,-7.2,-2.1,Chicken,0.95246205
19,2.0,egocentric retrieval,-1.2,7.7,-7.2,-2.1,Elephant,0.90583009
19,3.0,encoding,6.5,-7.6,-3.9,-7.9,Pig,
19,3.0,encoding,-7.9,1.6,-3.9,-7.9,Rhino,
19,3.0,egocentric retrieval,-7.9,1.6,-3.9,-7.9,Rhino,0.94248706
19,3.0,egocentric retrieval,6.5,-7.6,-3.9,-7.9,Pig,0.8537982
19,3.0,allocentric retrieval,-7.9,1.6,-3.9,-7.9,Rhino,0.96217504
19,3.0,allocentric retrieval,6.5,-7.6,-3.9,-7.9,Pig,0.992505007
19,4.0,encoding,-6.0,-3.9,8.8,-1.0,Rhino,
19,4.0,encoding,6.2,-8.2,8.8,-1.0,Pig,
19,4.0,allocentric retrieval,6.2,-8.2,8.8,-1.0,Pig,0.91972008
19,4.0,allocentric retrieval,-6.0,-3.9,8.8,-1.0,Rhino,0.98359702
19,4.0,egocentric retrieval,6.2,-8.2,8.8,-1.0,Pig,0.4935695
19,4.0,egocentric retrieval,-6.0,-3.9,8.8,-1.0,Rhino,0.0822629
19,5.0,encoding,-6.9,-1.2,3.0,-7.7,Camel,
19,5.0,encoding,8.2,5.6,3.0,-7.7,Tiger,
19,5.0,egocentric retrieval,-6.9,-1.2,3.0,-7.7,Camel,0.7984712
19,5.0,egocentric retrieval,8.2,5.6,3.0,-7.7,Tiger,0.98530902
19,5.0,allocentric retrieval,8.2,5.6,3.0,-7.7,Tiger,0.2211338
19,5.0,allocentric retrieval,-6.9,-1.2,3.0,-7.7,Camel,0.9996210004
19,6.0,encoding,8.3,8.4,7.0,-2.4,Chicken,
19,6.0,encoding,-2.0,7.1,7.0,-2.4,Elephant,
19,6.0,allocentric retrieval,-2.0,7.1,7.0,-2.4,Elephant,0.93204607
19,6.0,allocentric retrieval,8.3,8.4,7.0,-2.4,Chicken,0.95324105
19,6.0,egocentric retrieval,-2.0,7.1,7.0,-2.4,Elephant,0.96125904
19,6.0,egocentric retrieval,8.3,8.4,7.0,-2.4,Chicken,0.8203482
19,7.0,encoding,-6.9,-0.5,7.5,4.8,Camel,
19,7.0,encoding,7.0,-1.6,7.5,4.8,Rhino,
19,7.0,egocentric retrieval,7.0,-1.6,7.5,4.8,Rhino,0.8352102
19,7.0,egocentric retrieval,-6.9,-0.5,7.5,4.8,Camel,0.96815203
19,7.0,allocentric retrieval,7.0,-1.6,7.5,4.8,Rhino,0.97125403
19,7.0,allocentric retrieval,-6.9,-0.5,7.5,4.8,Camel,0.98233402
19,8.0,encoding,-0.7,-5.6,5.3,-2.3,Tiger,
19,8.0,encoding,-0.8,6.8,5.3,-2.3,Elephant,
19,8.0,allocentric retrieval,-0.8,6.8,5.3,-2.3,Elephant,0.996542003
19,8.0,allocentric retrieval,-0.7,-5.6,5.3,-2.3,Tiger,0.95365705
19,8.0,egocentric retrieval,-0.8,6.8,5.3,-2.3,Elephant,0.92997607
19,8.0,egocentric retrieval,-0.7,-5.6,5.3,-2.3,Tiger,0.8507822
19,9.0,encoding,5.1,-7.2,8.8,3.1,Pig,
19,9.0,encoding,-3.9,7.5,8.8,3.1,Chicken,
19,9.0,egocentric retrieval,5.1,-7.2,8.8,3.1,Pig,0.98758301
19,9.0,egocentric retrieval,-3.9,7.5,8.8,3.1,Chicken,0.96171204
19,9.0,allocentric retrieval,5.1,-7.2,8.8,3.1,Pig,0.8689831
19,9.0,allocentric retrieval,-3.9,7.5,8.8,3.1,Chicken,0.94106706
19,10.0,encoding,-6.6,-8.0,-3.8,-0.2,Chicken,
19,10.0,encoding,-2.0,8.2,-3.8,-0.2,Elephant,
19,10.0,allocentric retrieval,-6.6,-8.0,-3.8,-0.2,Chicken,0.98740601
19,10.0,allocentric retrieval,-2.0,8.2,-3.8,-0.2,Elephant,0.94500405
19,10.0,egocentric retrieval,-6.6,-8.0,-3.8,-0.2,Chicken,0.97356903
19,10.0,egocentric retrieval,-2.0,8.2,-3.8,-0.2,Elephant,0.8877831
19,11.0,encoding,5.6,-8.4,-4.2,7.0,Pig,
19,11.0,encoding,2.0,4.7,-4.2,7.0,Tiger,
19,11.0,egocentric retrieval,5.6,-8.4,-4.2,7.0,Pig,0.96364804
19,11.0,egocentric retrieval,2.0,4.7,-4.2,7.0,Tiger,0.91169809
19,11.0,allocentric retrieval,5.6,-8.4,-4.2,7.0,Pig,0.96318704
19,11.0,allocentric retrieval,2.0,4.7,-4.2,7.0,Tiger,0.91878408
19,12.0,encoding,3.3,-7.8,5.8,-2.6,Rhino,
19,12.0,encoding,-8.4,-2.1,5.8,-2.6,Camel,
19,12.0,allocentric retrieval,-8.4,-2.1,5.8,-2.6,Camel,0.97244603
19,12.0,allocentric retrieval,3.3,-7.8,5.8,-2.6,Rhino,0.98190202
19,12.0,egocentric retrieval,3.3,-7.8,5.8,-2.6,Rhino,0.991810008
19,12.0,egocentric retrieval,-8.4,-2.1,5.8,-2.6,Camel,0.98533901
19,13.0,encoding,-1.4,7.3,-4.7,3.3,Elephant,
19,13.0,encoding,1.3,-3.8,-4.7,3.3,Chicken,
19,13.0,egocentric retrieval,1.3,-3.8,-4.7,3.3,Chicken,0.8598030999999999
19,13.0,egocentric retrieval,-1.4,7.3,-4.7,3.3,Elephant,0.995009005
19,13.0,allocentric retrieval,-1.4,7.3,-4.7,3.3,Elephant,0.9997580002
19,13.0,allocentric retrieval,1.3,-3.8,-4.7,3.3,Chicken,0.9017271
19,14.0,encoding,4.6,1.9,3.0,7.5,Tiger,
19,14.0,encoding,-7.2,-2.1,3.0,7.5,Camel,
19,14.0,allocentric retrieval,4.6,1.9,3.0,7.5,Tiger,0.98030102
19,14.0,allocentric retrieval,-7.2,-2.1,3.0,7.5,Camel,0.95796704
19,14.0,egocentric retrieval,4.6,1.9,3.0,7.5,Tiger,0.998355002
19,14.0,egocentric retrieval,-7.2,-2.1,3.0,7.5,Camel,0.991437009
19,15.0,encoding,5.0,-7.3,-5.0,-6.8,Pig,
19,15.0,encoding,3.5,3.9,-5.0,-6.8,Rhino,
19,15.0,egocentric retrieval,5.0,-7.3,-5.0,-6.8,Pig,0.96404304
19,15.0,egocentric retrieval,3.5,3.9,-5.0,-6.8,Rhino,0.8260162
19,15.0,allocentric retrieval,5.0,-7.3,-5.0,-6.8,Pig,0.97812302
19,15.0,allocentric retrieval,3.5,3.9,-5.0,-6.8,Rhino,0.95118405
19,16.0,encoding,7.5,-2.5,-7.6,8.7,Rhino,
19,16.0,encoding,-7.8,-1.8,-7.6,8.7,Camel,
19,16.0,allocentric retrieval,7.5,-2.5,-7.6,8.7,Rhino,0.8695891
19,16.0,allocentric retrieval,-7.8,-1.8,-7.6,8.7,Camel,0.9990900009
19,16.0,egocentric retrieval,-7.8,-1.8,-7.6,8.7,Camel,0.990471009
19,16.0,egocentric retrieval,7.5,-2.5,-7.6,8.7,Rhino,0.94982805
19,17.0,encoding,-0.9,6.4,7.9,-5.6,Elephant,
19,17.0,encoding,3.6,-2.7,7.9,-5.6,Chicken,
19,17.0,egocentric retrieval,-0.9,6.4,7.9,-5.6,Elephant,0.97534502
19,17.0,egocentric retrieval,3.6,-2.7,7.9,-5.6,Chicken,0.998751001
19,17.0,allocentric retrieval,-0.9,6.4,7.9,-5.6,Elephant,0.94523505
19,17.0,allocentric retrieval,3.6,-2.7,7.9,-5.6,Chicken,0.97781702
19,18.0,encoding,-5.6,-0.6,1.3,1.9,Tiger,
19,18.0,encoding,4.8,-8.1,1.3,1.9,Pig,
19,18.0,allocentric retrieval,4.8,-8.1,1.3,1.9,Pig,0.97183603
19,18.0,allocentric retrieval,-5.6,-0.6,1.3,1.9,Tiger,0.95672604
19,18.0,egocentric retrieval,4.8,-8.1,1.3,1.9,Pig,0.97872902
19,18.0,egocentric retrieval,-5.6,-0.6,1.3,1.9,Tiger,0.96045504
19,19.0,encoding,-1.9,8.3,-2.4,-8.1,Elephant,
19,19.0,encoding,4.3,-0.7,-2.4,-8.1,Rhino,
19,19.0,egocentric retrieval,-1.9,8.3,-2.4,-8.1,Elephant,0.8975031
19,19.0,egocentric retrieval,4.3,-0.7,-2.4,-8.1,Rhino,0.5818654
19,19.0,allocentric retrieval,4.3,-0.7,-2.4,-8.1,Rhino,0.3554796999999999
19,19.0,allocentric retrieval,-1.9,8.3,-2.4,-8.1,Elephant,0.97024303
19,20.0,encoding,0.3,1.8,-5.7,-8.8,Chicken,
19,20.0,encoding,6.4,-7.4,-5.7,-8.8,Pig,
19,20.0,allocentric retrieval,6.4,-7.4,-5.7,-8.8,Pig,0.98131702
19,20.0,allocentric retrieval,0.3,1.8,-5.7,-8.8,Chicken,0.97794902
19,20.0,egocentric retrieval,0.3,1.8,-5.7,-8.8,Chicken,0.993933006
19,20.0,egocentric retrieval,6.4,-7.4,-5.7,-8.8,Pig,0.992272008
19,21.0,encoding,-8.3,-0.9,2.3,3.7,Camel,
19,21.0,encoding,7.3,3.0,2.3,3.7,Tiger,
19,21.0,egocentric retrieval,7.3,3.0,2.3,3.7,Tiger,0.8556851
19,21.0,egocentric retrieval,-8.3,-0.9,2.3,3.7,Camel,0.9044781
19,21.0,allocentric retrieval,-8.3,-0.9,2.3,3.7,Camel,0.991800008
19,21.0,allocentric retrieval,7.3,3.0,2.3,3.7,Tiger,0.95303205
19,22.0,encoding,6.7,-5.3,7.2,3.8,Rhino,
19,22.0,encoding,-2.1,7.0,7.2,3.8,Elephant,
19,22.0,allocentric retrieval,6.7,-5.3,7.2,3.8,Rhino,0.97222503
19,22.0,allocentric retrieval,-2.1,7.0,7.2,3.8,Elephant,0.94272406
19,22.0,egocentric retrieval,-2.1,7.0,7.2,3.8,Elephant,0.97585102
19,22.0,egocentric retrieval,6.7,-5.3,7.2,3.8,Rhino,0.94596905
19,23.0,encoding,4.8,-7.0,-5.8,4.3,Pig,
19,23.0,encoding,1.2,7.3,-5.8,4.3,Chicken,
19,23.0,egocentric retrieval,1.2,7.3,-5.8,4.3,Chicken,0.99037001
19,23.0,egocentric retrieval,4.8,-7.0,-5.8,4.3,Pig,0.98272702
19,23.0,allocentric retrieval,1.2,7.3,-5.8,4.3,Chicken,0.996670003
19,23.0,allocentric retrieval,4.8,-7.0,-5.8,4.3,Pig,0.9993370007
19,24.0,encoding,2.3,-1.9,0.8,6.7,Tiger,
19,24.0,encoding,-7.9,-1.2,0.8,6.7,Camel,
19,24.0,allocentric retrieval,-7.9,-1.2,0.8,6.7,Camel,0.8468702
19,24.0,allocentric retrieval,2.3,-1.9,0.8,6.7,Tiger,0.994714005
19,24.0,egocentric retrieval,2.3,-1.9,0.8,6.7,Tiger,0.98685301
19,24.0,egocentric retrieval,-7.9,-1.2,0.8,6.7,Camel,0.995020005
19,25.0,encoding,-8.4,-0.8,-2.2,-3.9,Camel,
19,25.0,encoding,6.4,7.8,-2.2,-3.9,Rhino,
19,25.0,egocentric retrieval,6.4,7.8,-2.2,-3.9,Rhino,0.91836108
19,25.0,egocentric retrieval,-8.4,-0.8,-2.2,-3.9,Camel,0.97422403
19,25.0,allocentric retrieval,6.4,7.8,-2.2,-3.9,Rhino,0.998229002
